"Order_ID","Order_Date","Order_Year","Order_Quarter","Order_Month_Name","Product_ID","Product_Name","Category","Supplier_ID","Supplier_Name","Warehouse","Warehouse_City","Warehouse_Region","Warehouse_Country","Warehouse_Capacity","Warehouse_Utilization","Customer_ID","Customer_Region","Customer_Tier","Quantity_Ordered","Quantity_Shipped","Inventory_Level","Reorder_Point","Safety_Stock","Stock_Status","Demand_Forecast","Inventory_Turnover","Lead_Time_Days","Ship_Date","Delivery_Date","Promised_Delivery_Date","Late_Delivery","Transportation_Mode","Transportation_Distance_KM","Shipping_Cost","Fuel_Cost","Supplier_Unit_Cost","Selling_Price","Revenue","Profit","Order_Status","Product_Return_Rate","Customer_Satisfaction","Satisfaction_Missing","Order_Month","Delivery_Delay_Days","Fulfillment_Rate","Profit_Margin","Is_Peak_Season"
"ORD000001",2024-01-01,2024,"Q1","Jan","P0001","Camping Tent Eco","Sporting Goods","S034","Summit Group","WH-FRA","Frankfurt","Europe","Germany",2250,0.447,"C01565","Europe","Key Account",11,10,1,4,2,"Low Stock",11,15.28,6,2024-01-02,2024-01-03,2024-01-05,FALSE,"Road",582,33.86,9.48,17.6,23.4,234,24.14,"Delivered",0.096,3.1,FALSE,1,-2,0.909,0.103,FALSE
"ORD000002",2024-01-01,2024,"Q1","Jan","P0093","Coffee Maker Lite","Home & Kitchen","S008","Anchor Group","WH-MEX","Mexico City","Latin America","Mexico",2600,0.519,"C00235","Latin America","Key Account",12,12,91,69,35,"In Stock",73,8.61,21,2024-01-04,2024-01-11,2024-01-07,TRUE,"Road",1192.5,52.88,14.81,154.3,195.44,2345.28,440.8,"Delivered",0.056,3.5,FALSE,1,4,1,0.188,FALSE
"ORD000003",2024-01-01,2024,"Q1","Jan","P0122","Vitamin C Serum Max","Health & Beauty","S015","Delta Industries","WH-DAL","Dallas","North America","USA",7600,0.756,"C01006","North America","Key Account",37,37,35,38,16,"Low Stock",45,2.69,18,2024-01-02,2024-01-04,2024-01-05,FALSE,"Road",825.7,40.51,11.34,15.22,23.32,862.84,259.19,"Delivered",0.077,3.7,FALSE,1,-1,1,0.3,FALSE
"ORD000004",2024-01-01,2024,"Q1","Jan","P0039","Rain Jacket Deluxe","Apparel","S011","Sterling Logistics Partners","WH-SIN","Singapore","Asia Pacific","Singapore",1500,0.329,"C02212","Asia Pacific","Standard",10,9,1,6,5,"Low Stock",8,7.03,3,2024-01-02,2024-01-05,2024-01-05,FALSE,"Road",1359.6,56.06,15.7,32.91,47.83,430.47,78.22,"Delivered",0.231,5,FALSE,1,0,0.9,0.182,FALSE
"ORD000005",2024-01-01,2024,"Q1","Jan","P0107","Cookware Set Eco","Home & Kitchen","S014","Beacon Group","WH-DAL","Dallas","North America","USA",7600,0.756,"C01006","North America","Key Account",9,9,31,115,62,"Low Stock",109,6.14,12,2024-01-04,2024-01-07,2024-01-07,FALSE,"Road",967.4,45.6,12.77,80.01,109.55,985.95,220.26,"Delivered",0.076,NA,TRUE,1,0,1,0.223,FALSE
"ORD000006",2024-01-01,2024,"Q1","Jan","P0097","Sneakers Compact","Apparel","S013","Pinnacle Industries","WH-FRA","Frankfurt","Europe","Germany",2250,0.447,"C00674","Europe","Key Account",11,10,30,31,25,"Low Stock",10,6.55,16,2024-01-04,2024-01-06,2024-01-07,FALSE,"Road",566.1,32.28,9.04,17.23,23.69,236.9,32.32,"Delivered",0.12,4.2,FALSE,1,-1,0.909,0.136,FALSE
"ORD000007",2024-01-02,2024,"Q1","Jan","P0117","Dumbbell Set Lite","Sporting Goods","S009","Anchor Group","WH-SHA","Shanghai","Asia Pacific","China",2200,1.015,"C01407","Asia Pacific","Key Account",15,13,1,11,3,"Low Stock",14,1.93,16,2024-01-04,2024-01-08,2024-01-07,TRUE,"Road",1808.9,71.09,19.91,15.51,21.3,276.9,4.18,"Delivered",0,3.7,FALSE,1,1,0.867,0.015,FALSE
"ORD000008",2024-01-02,2024,"Q1","Jan","P0026","Power Bank Pro","Electronics","S022","Horizon Logistics Partners","WH-SHA","Shanghai","Asia Pacific","China",2200,1.015,"C01407","Asia Pacific","Key Account",4,4,18,10,7,"In Stock",8,6.5,11,2024-01-03,2024-01-05,2024-01-05,FALSE,"Air",1974.1,107.98,37.79,31.18,37.25,149,-83.7,"Delivered",0.111,4.7,FALSE,1,0,1,-0.562,FALSE
"ORD000009",2024-01-02,2024,"Q1","Jan","P0063","Printer Paper Case Max","Office Supplies","S037","Pinnacle Trading Ltd.","WH-CHI","Chicago","North America","USA",5400,0.536,"C01542","North America","Key Account",152,152,466,171,95,"In Stock",177,6.52,10,2024-01-05,2024-01-06,2024-01-08,FALSE,"Parcel",885,240.15,48.03,35.75,46.79,7112.08,1437.93,"Delivered",0.017,5,FALSE,1,-2,1,0.202,FALSE
"ORD000010",2024-01-02,2024,"Q1","Jan","P0110","Puzzle 1000pc Essential","Toys & Games","S040","Meridian Industries","WH-DXB","Dubai","Middle East & Africa","UAE",900,0.833,"C02113","Middle East & Africa","Standard",12,12,10,3,2,"Overstocked",13,9.75,2,2024-01-05,2024-01-08,2024-01-08,FALSE,"Parcel",1301.4,49.12,9.82,7.31,10.14,121.68,-15.16,"Delivered",0.041,4.5,FALSE,1,0,1,-0.125,FALSE
"ORD000011",2024-01-02,2024,"Q1","Jan","P0098","Smart Watch Prime","Electronics","S029","Apex Logistics Partners","WH-FRA","Frankfurt","Europe","Germany",2250,0.447,"C00552","Europe","Standard",4,4,12,6,4,"In Stock",5,2.7,13,2024-01-03,2024-01-05,2024-01-06,FALSE,"Road",607.9,33.74,9.45,27.76,33.31,133.24,-11.54,"Delivered",0.121,3.7,FALSE,1,-1,1,-0.087,FALSE
"ORD000012",2024-01-02,2024,"Q1","Jan","P0080","Basketball Max","Sporting Goods","S010","Pioneer Logistics Partners","WH-DAL","Dallas","North America","USA",7600,0.756,"C01006","North America","Key Account",10,9,128,59,45,"In Stock",35,9.42,14,2024-01-05,2024-01-08,2024-01-08,FALSE,"Road",964,45.18,12.65,17.88,24.49,220.41,14.31,"Delivered",0.071,4.6,FALSE,1,0,0.9,0.065,FALSE
"ORD000013",2024-01-02,2024,"Q1","Jan","P0023","Filing Cabinet Lite","Furniture","S037","Pinnacle Trading Ltd.","WH-CHI","Chicago","North America","USA",5400,0.536,"C01006","North America","Key Account",7,7,7,28,13,"Low Stock",48,9.11,7,2024-01-03,2024-01-05,2024-01-06,FALSE,"Road",855,46.95,13.15,29.84,40.75,285.25,29.42,"Delivered",0.093,4.9,FALSE,1,-1,1,0.103,FALSE
